LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT6,PAY_AMT6,default
20000,2,2,1,24,0,0,1
120000,2,2,2,26,3261,2000,1
90000,2,2,2,34,15549,5000,0
50000,2,2,1,37,29547,1000,0
50000,1,2,1,57,19131,679,0
50000,1,1,2,37,20024,800,0
500000,1,1,2,29,473944,13770,0
100000,2,2,2,23,567,1542,0
140000,2,3,1,28,3719,1000,0
20000,1,3,2,35,13912,0,0
200000,2,3,2,34,3731,66,0
260000,2,1,2,51,13668,3640,0
630000,2,2,2,41,2870,0,0
70000,1,2,2,30,36894,0,1
250000,1,1,2,29,55512,3000,0
50000,2,3,3,23,30211,1100,0
20000,1,1,2,24,19104,0,1
320000,1,1,1,49,195599,50000,0
360000,2,1,1,49,0,0,0
180000,2,1,2,29,0,0,0
130000,2,3,2,39,930,33764,0
120000,2,2,1,39,316,0,1
70000,2,2,2,26,46012,1820,1
450000,2,1,1,40,0,1128,1
90000,1,1,2,23,8292,2000,0
50000,1,3,2,23,30046,997,0
60000,1,1,2,27,-189,1000,1
50000,2,3,2,30,19617,1012,0
50000,2,3,1,47,257,0,0
50000,1,1,2,26,11400,0,0
230000,2,1,2,27,36923,0,0
50000,1,2,2,33,23680,716,1
100000,1,1,2,32,75589,2504,0
500000,2,2,1,54,8981,51582,0
500000,1,1,1,58,5293,768,0
160000,1,1,2,30,-1884,0,0
280000,1,2,1,40,177413,6737,0
60000,2,2,2,22,18660,617,0
50000,1,1,2,25,0,0,1
280000,1,1,2,31,9477,781,0
360000,1,1,2,33,179224,4000,0
70000,2,1,2,25,65970,2500,0
10000,1,2,2,22,4451,500,0
140000,2,2,1,37,69802,3000,0
40000,2,1,2,30,29197,0,0
210000,1,1,2,29,0,0,1
20000,2,1,2,22,0,0,1
150000,2,5,2,46,0,0,1
380000,1,2,2,32,11873,8251,0
20000,1,1,2,24,20063,1069,0
70000,1,3,2,42,39362,1500,1
100000,2,3,3,43,33258,1000,0
310000,2,2,1,49,464,0,0
180000,2,1,2,25,45319,1622,0
150000,2,1,2,29,16540,5000,0
500000,2,1,1,45,2530,0,0
180000,2,3,1,34,8321,2000,0
180000,2,2,1,34,129918,3800,0
200000,2,1,2,34,1414,0,0
400000,2,2,1,29,364089,23000,0
500000,2,3,1,28,15571,2000,1
70000,1,2,1,39,830,0,0
50000,1,1,2,29,28264,0,1
50000,2,2,1,46,0,0,1
130000,2,2,1,51,0,0,0
200000,1,1,1,57,7918,1000,1
10000,1,2,1,56,4326,160,1
210000,2,1,2,30,4250,909,0
130000,2,3,2,29,7319,13899,0
20000,1,5,2,22,5982,0,0
80000,1,1,2,31,390,390,0
320000,1,2,2,29,63526,1600,1
200000,2,2,1,32,3151,1395,0
290000,2,1,2,37,0,0,0
340000,1,1,2,32,25820,2016,0
20000,1,2,2,24,18543,0,0
50000,1,3,2,25,10030,1000,0
300000,2,1,1,45,291,291,0
30000,2,2,2,22,6411,0,1
240000,2,2,2,44,0,0,1
470000,2,3,3,33,29889,3000,0
360000,2,1,2,26,196,2963,0
60000,1,3,2,30,19771,0,1
400000,2,2,1,44,94058,2800,0
50000,2,3,2,49,19482,826,0
160000,1,2,2,33,120418,4500,0
360000,2,1,1,45,390,390,1
160000,2,2,2,32,766,2303,0
130000,2,1,1,35,1190,2090,0
20000,1,3,2,44,11970,1500,0
200000,1,1,1,53,149531,5000,1
280000,2,1,2,39,0,0,0
100000,2,1,2,27,0,0,0
160000,2,2,1,37,0,7736,0
60000,2,2,2,23,19323,835,0
90000,1,2,2,35,30835,1143,0
360000,1,1,1,43,9956,68978,0
150000,1,1,2,27,40788,800,0
50000,2,3,1,22,7899,197,0
20000,1,2,1,38,150,0,1
140000,1,1,2,32,1430,0,0
380000,2,1,2,30,34056,5000,0
480000,1,1,1,63,469961,24200,0
50000,2,3,2,22,24094,904,1
60000,2,2,2,26,55305,3000,0
70000,2,2,2,24,26529,2000,0
80000,2,2,1,36,1150,1035,0
350000,1,1,2,52,5263,5011,0
130000,1,2,2,38,126568,4796,0
360000,1,2,1,35,-103,0,0
330000,2,1,1,31,107289,0,0
50000,1,3,1,47,17393,1000,0
280000,1,2,1,41,149415,5000,0
100000,2,1,2,24,59713,2033,0
50000,1,2,2,41,19957,684,0
30000,1,1,2,24,21201,1000,1
240000,1,1,2,28,326,526,0
80000,1,2,2,26,18186,1000,1
400000,1,2,1,34,7959,5712,0
240000,2,2,2,38,1203,563,0
50000,1,3,2,37,51143,0,1
450000,1,1,1,40,0,0,1
110000,2,1,1,48,0,0,0
310000,2,2,1,35,198889,5987,1
20000,1,1,2,27,15630,0,0
20000,1,2,2,23,0,0,0
200000,1,3,2,52,104993,3784,0
180000,1,1,1,36,95927,1000,1
50000,1,2,1,51,7077,134,1
60000,1,3,1,55,26547,1500,0
30000,2,1,2,23,5906,3024,0
240000,1,1,2,41,1737,924,0
420000,1,2,1,34,188108,11326,0
330000,1,3,1,46,228203,8200,0
30000,2,2,2,22,-780,1560,0
240000,1,2,1,34,13891,327,0
150000,1,1,2,27,30229,5000,0
210000,2,2,1,33,5708,546,0
50000,2,3,1,51,0,0,1
50000,1,1,2,24,18995,2130,0
240000,1,1,2,47,0,0,1
180000,1,2,2,28,416,832,0
50000,1,2,2,23,18065,600,0
170000,1,2,2,29,15846,10000,0
20000,1,1,2,29,339,330,0
50000,1,1,2,28,10138,0,0
170000,2,2,2,27,9100,0,1
200000,1,1,2,34,59875,8500,0
80000,2,2,1,23,12034,1,0
260000,2,1,1,60,869,0,0
140000,1,2,1,32,55251,2602,0
80000,1,1,2,25,31826,14000,0
350000,1,1,2,41,0,0,0
280000,2,2,1,56,169311,6321,0
30000,2,3,2,26,14206,1500,0
140000,1,1,1,34,48699,5504,0
200000,2,1,2,37,94031,5000,0
200000,2,3,2,30,122324,4500,0
210000,1,3,1,45,154105,10478,1
50000,1,3,1,57,14083,600,0
30000,1,1,2,41,28321,1250,0
50000,1,2,2,27,540,390,0
